Production Budget,Domestic Gross
36000000,13052741
23000000,12803305
21500000,22331846
15000000,103046663
12000000,63118386
55000000,50047179
18000000,4501094
15000000,76382
90000000,250690539
3000000,24646936
25000,2883661
5000000,353480
8000000,590817
45000000,2154540
4000000,2922988
36000000,50159144
35000000,6448817
18000000,53883989
50000000,50068310
26000000,1083350
35000000,41954997
35000000,2221994
3000000,4109095
27000000,60527873
10000000,12554569
45000000,181410615
20000000,35450113
90000000,42885593
32000000,3588602
250000,212285
90000000,61363304
250000,12006514
42000000,4408420
3000000,3602884
90000000,47546796
300000,42735
10000000,138433435
75000000,229086679
80000000,101117573
12000000,14010363
110000000,48097081
70000000,99112101
2700000,9054736
125000000,107325195
46000000,126813153
4000000,12836
1000000,542909
80000000,112276146
115000000,67163857
100000000,54768952
50000000,10561038
5000000,14843425
55000000,105263257
25000000,44480039
85000000,172956409
40000000,54979992
80000000,76118990
70000000,37945884
3500000,45950122
60000000,26673242
16000000,1686429
15000000,44906632
50000000,48169156
25000000,41076865
450000,410919
26000000,5000
95000000,63570862
85000000,28681080
35000000,64604977
35000000,63826569
50000000,41263140
18000000,8038061
7500000,43492389
60000000,33956608
55000000,11532774
15000000,26410771
5000000,4306697
57000000,61007424
17000000,72250091
36000000,12532777
38000000,6504442
12000000,220175
45000000,65598907
15000000,28084357
12000,413802
90000000,100920329
28000000,8165213
60000000,54956941
53000000,58403409
20000000,13801755
40000000,45916769
35000000,25078937
30000000,35927406
80000000,92993801
60000000,47795018
50000000,48265581
40000000,44212592
24000000,101363301
20000000,10686841
5000000,20733485
200000000,658672302
110000000,125304276
38000000,61894591
50000000,148478011
80000000,17650704
28000000,5686694
15000000,43057470
12000000,39673162
12500000,1612957
25000000,21567853
4000000,302204
2300000,574838
140000000,201578182
70000000,19870567
8000000,17394881
2650000,16556
25000000,29342592
45000000,11203026
5000000,2080693
80000000,55485043
60000000,90757863
17000000,30331165
73000000,37068294
29000000,22619589
500000,334041
68000,33598
27000000,14435076
10000000,45779
80000000,69117629
60000000,32983332
15000000,11156471
10000000,10162034
35000000,56968169
7000000,306715
65000000,39017984
20000000,29795299
11900000,48856
6000000,12716953
27000000,10341093
24000000,4356126
20000000,146072
5000000,143273
4500000,713413
35000000,10319915
20000000,21541218
6000000,4595000
2000000,72544
15000000,29145924
13000000,27066941
6000000,11911200
1000000,2057193
60000000,125618201
17000000,55041738
60000000,75383563
40000000,22772500
30000000,26528684
2000000,537948
125000000,136314294
18500000,10680275
3500000,10317779
30000000,60110313
30000000,19035741
20000000,15055091
15000000,17498804
4030000,2542264
70000000,40934175
25000000,30082699
23000000,161491646
9000000,1053788
3500000,6451628
90000000,120620254
66000000,83898313
650000,2301777
71500000,144156605
